yr,firstName,lastName,constituency,party,votes
2015,Aaron,DAVID,W07000073,Trade Unionist and Socialist Coalition,118
2015,Aba,KRISTILOLU,E14000995,All People's Party,31
2015,Abdul,MALIK,E14000599,Liberal Democrats,2689
2015,Abi,JACKSON,E14000747,Green,1110
2015,Abideen,AKINOSHUN,E14000718,Green,2991
2015,Abigail,CAMPBELL,E14000660,Labour,9491
2015,Ace,NNOROM,E14001008,UKIP,1385
2015,Adam,AFRIYIE,E14001042,Conservative,31797
2015,Adam,BOYDEN,E14000774,Liberal Democrats,1827
2015,Adam,CLIFFORD,E14000639,Class War,59
2015,Adam,HEATHERINGTON,E14000795,UKIP,3375
2015,Adam,HOLLOWAY,E14000715,Conservative,23484
2015,Adam,LLOYD,W07000073,National Front,66
2015,Adam,MCGREGOR,E14000867,Green,2345
2015,Adam VAN,COEVORDEN,E14000630,Green,2689
2015,Adam,WALKER,E14000904,British National Party,225
2015,Ade,ADEYEMO,E14000812,Liberal Democrats,2638
2015,Adele,WARD,E14000703,Green,1357
2015,Adrian,BAILEY,E14001030,Labour and Co-operative,16578
2015,Adrian,BAKER,E14000744,UKIP,7534
2015,Adrian,CRUDEN,E14000666,Green,1366
2015,Adrian,FORD,E14000956,Liberal Democrats,2121
2015,Adrian,HEALD,E14000653,Labour,18825
2015,Adrian,HOLMES,E14000863,Green,1939
2015,Adrian,HOWARD,E14000802,UKIP,6037
2015,Adrian,HYYRYLAINEN-TRETT,E14001008,Liberal Democrats,3312
2015,Adrian,MAUDSLEY,E14000637,Independent,138
2015,Adrian,NOBLE,E14000629,UKIP,2039
2015,Adrian,OLIVER,E14000881,Green,2198
2015,Adrian,PAGE,E14000982,Liberal Democrats,1105
2015,Adrian,SANDERS,E14000999,Liberal Democrats,16265
2015,Adrian,WALKER-SMITH,E14000980,Liberal Democrats,2086
2015,Adrian,WINDISCH,E14001048,Green,2092
2015,Adrianne,SMYTH,E14000841,UKIP,8579
2015,Afzal,AKRAM,E14000675,UKIP,3922
2015,Afzal,ANWAR,E14000902,Liberal Democrats,806
2015,Aidan,CAMPBELL,E14000714,Green,1872
2015,Aidan,COTTRELL-BOYCE,E14001021,Green,1332
2015,Aidan,POWLESLAND,E14000731,UKIP,2333
2015,Aileen,CASEY,E14001020,UKIP,7321
2015,Aileen,MORTON,S14000059,Liberal Democrats,816
2015,Aisha,MIR,S14000045,Liberal Democrats,1132
2015,Al,MURRAY,E14000948,Independent,318
2015,Aladdin,AYESH,W07000076,Liberal Democrats,935
2015,Alan,ARMSTRONG,W07000078,Green,1054
2015,Alan,AVERY,E14000993,Labour,8089
2015,Alan,BEDDOW,E14000854,Liberal Democrats,978
2015,Alan,BORGARS,E14000739,Green,1660
2015,Alan,BROWN,S14000040,SNP,30000
2015,Alan,BULLION,E14000918,Liberal Democrats,3937
2015,Alan,BUTCHER,E14000576,Labour,6508
2015,Alan,CAMPBELL,E14001006,Labour,25791
2015,Alan,DAY,N06000010,UKIP,863
2015,Alan,DIMMICK,E14000932,UKIP,6439
2015,Alan,DOCHERTY,E14000658,Trade Unionist and Socialist Coalition,223
2015,Alan,DUNCAN,E14000909,Conservative,30383
2015,Alan,DUNLOP,N06000014,Conservative,415
2015,Alan,DURRANT,E14000713,Labour,6926
2015,Alan,ENGLAND,E14001028,English Democrats,309
2015,Alan,FRANCIS,E14000608,Green,7400
2015,Alan,GRAVES,E14000935,UKIP,8998
2015,Alan,GREY,E14000717,UKIP,10270
2015,Alan,HARRIS,E14000874,UKIP,3963
2015,Alan,HASELHURST,E14000910,Conservative,32926
2015,Alan,HAZELHURST,E14001009,UKIP,7862
2015,Alan,HENDERSON,E14000928,UKIP,7651
2015,Alan,HILLIAR,E14000530,Liberal Democrats,4076
2015,Alan,JOHNSON,E14000579,Green,1200
2015,Alan,JOHNSON,E14000773,Labour,15646
2015,Alan,LOVE,N06000009,UKIP,2200
2015,Alan,MAK,E14000736,Conservative,23159
2015,Alan,MEALE,E14000810,Labour,18603
2015,Alan,MELVILLE,S14000023,UKIP,847
2015,Alan,MENDOZA,E14000591,Conservative,9567
2015,Alan,MUNRO,E14000923,Trade Unionist and Socialist Coalition,238
2015,Alan,PIPER,E14001037,UKIP,3031
2015,Alan,REID,S14000005,Liberal Democrats,14486
2015,Alan,ROBINSON,E14000754,Green,1095
2015,Alan,STEVENS,E14000631,UKIP,7218
2015,Alan,STONE,E14000545,UKIP,8290
2015,Alan,WHITEHEAD,E14000956,Labour,18017
2015,Alasdair,HENDERSON,E14000555,The Whig Party,203
2015,Alasdair,HILL,E14000741,Liberal Democrats,1088
2015,Alasdair,IBBOTSON,W07000043,Green,976
2015,Alasdair,KEDDIE,E14000584,Green,3263
2015,Alasdair,MCDONNELL,N06000003,Social Democratic and Labour Party,9560
2015,Alasdair,MORRISON,S14000027,Labour,4560
2015,Alasdair,MURRAY,E14000873,Liberal Democrats,5453
2015,Alastair,GRAHAM,S14000009,Conservative,2326
2015,Alastair,MCQUILLAN,E14000909,Green,2325
2015,Alastair,REDMAN,S14000005,Conservative,7733
2015,Alastair,WHITELAW,S14000034,Green,1431
2015,Alban,MAGINNESS,N06000002,Social Democratic and Labour Party,3338
2015,Albert,DUFFEN,E14000563,UKIP,4651
2015,Albert,OWEN,W07000041,Labour,10871
2015,Alberto,COSTA,E14000940,Conservative,28700
2015,Alec,HEATH,E14000646,Green,1876
2015,Alec,SHELBROOKE,E14000689,Conservative,27978
2015,Aleks,LUKIC,E14000548,UKIP,9080
2015,Alex,ALLISON,S14000042,Conservative,8772
2015,Alex,ATTWOOD,N06000004,Social Democratic and Labour Party,3475
2015,Alex,BOULTER,E14000567,Conservative,13137
2015,Alex,BURGHART,E14000763,Conservative,8465
2015,Alex,CHALK,E14000630,Conservative,24790
2015,Alex,CUNNINGHAM,E14000970,Labour,19436
2015,Alex,DAVIDSON,E14000807,Trade Unionist and Socialist Coalition,270
2015,Alex,EASTON,N06000013,Democratic Unionist Party,8487
2015,Alex,FEAKES,E14000788,Liberal Democrats,3709
2015,Alex,JOHNSTONE,S14000007,Conservative,13148
2015,Alex,MEREDITH,E14001015,Liberal Democrats,7611
2015,Alex,PIERRE-TRAVES,E14000781,Conservative,7729
2015,Alex,ROBERTSON,E14000615,Cannabis is Safer than Alcohol Party,197
2015,Alex,SALMOND,S14000037,SNP,27717
2015,Alex,SOBEL,E14000780,Labour,13041
2015,Alex,STEWART-CLARK,S14000036,Conservative,3685
2015,Alex,STORY,E14000780,Conservative,8083
2015,Alex,WHITE,E14000623,Liberal Democrats,6643
2015,Alex,WILKS,E14000680,Labour,5220
2015,Alex,WILSON,N06000005,Conservative,549
2015,Alexander,BURNETT,S14000058,Conservative,15916
2015,Alexander,CRAIG,E14000592,UKIP,2024
2015,Alexander,CUNLIFFE,E14000690,Liberal Democrats,1308
2015,Alexander,JOHNSON,E14000831,Green,1724
2015,Alexander,KARRAN,E14000794,Independent,56
2015,Alexander,PAYTON,E14000857,Liberal Democrats,5151
2015,Alexander,REDPATH,N06000009,Ulster Unionist Party,6055
2015,Alexander,STEWART,S14000054,Conservative,17738
2015,Alexandra,SANDERSON,E14000629,Labour,9300
2015,Alfie,STIRLING,E14000786,Green,2784
2015,Alfred,OKAM,E14000620,Independent,126
2015,Ali,AKLAKUL,E14000893,Labour,6578
2015,Ali,MAJID,E14000972,Cannabis is Safer than Alcohol Party,244
2015,Alice,BRAMALL,E14000775,Conservative,3367
2015,Alice,MASON-POWER,E14000662,Green,1618
2015,Alick,MUNRO,E14000737,Green,794
2015,Alisdair CALDER,MCGREGOR,E14000614,Liberal Democrats,2666
2015,Alison,CRAIG,E14000912,Green,2762
2015,Alison,FIRTH,E14000758,Liberal Democrats,859
2015,Alison,GAVIN,E14000812,Green,2170
2015,Alison,GRIFFITHS,E14000574,Conservative,7838
2015,Alison,HARRIS,S14000028,Conservative,7325
2015,Alison,MCGOVERN,E14001043,Labour,20165
2015,Alison,SEABECK,E14000879,Labour,14994
2015,Alison,THEWLISS,S14000029,SNP,20658
2015,Alison,WHALLEY,E14000833,Green,1515
2015,Alison,WILLOTT,W07000053,Liberal Democrats,1271
2015,Alistair,BURT,E14000841,Conservative,34891
2015,Alistair,CAMERON,E14000990,Liberal Democrats,7629
2015,Alistair,CARMICHAEL,S14000051,Liberal Democrats,9407
2015,Alistair,FORREST,S14000043,UKIP,1682
2015,Alistair,MACBRAYNE,E14001019,UKIP,4183
2015,Alistair,POLSON,E14000555,Green,4906
2015,Alistair,STRAW,E14000637,Green,1111
2015,Allan,BRAME,E14000559,Liberal Democrats,1396
2015,Allan,TODD,E14000647,Green,1179
2015,Allan,WHITE,E14000800,UKIP,5318
2015,Allen,COWLES,E14000903,UKIP,13204
2015,Allen,SIMPSON,E14000804,Labour,5268
2015,Alok,SHARMA,E14000890,Conservative,23082
2015,Altaf,HUSSAIN,W07000048,Conservative,5142
2015,Alun,CAIRNS,W07000078,Conservative,23607
2015,Alun,GRIFFITHS,E14000589,Liberal Democrats,1173
2015,Alun,PUGH,W07000057,Labour,8122
2015,Alwyn,WAINE,E14000868,UKIP,6582
2015,AM,POPPY,E14000636,Green,2501
2015,Amadu,KANUMANSA,E14000673,All People's Party,62
2015,Amanda,HACK,E14000940,Labour,11876
2015,Amanda,KUBIE,S14000014,Liberal Democrats,1392
2015,Amanda,MILLING,E14000618,Conservative,20811
2015,Amanda,PENNINGTON,E14000837,Green,2063
2015,Amanda,SOLLOWAY,E14000662,Conservative,16402
2015,Amandeep,BHOGAL,N06000017,Conservative,201
2015,Amanjit,JHUND,S14000018,Labour,6754
2015,Amber,RUDD,E14000735,Conservative,22686
2015,Amelia,WOMACK,E14000615,Green,5187
2015,Amelie,BOLEYN,E14000918,Green,2238
2015,Amila,Y'MECH,E14000664,Humanity Party,149
2015,Amina,LONE,E14000825,Labour,15101
2015,Amjad,KHAN,E14000760,UKIP,2705
2015,Amna,AHMAD,E14000978,Liberal Democrats,4491
2015,Amos,WRIGHT,E14001024,UKIP,4547
2015,Amran,HUSSAIN,E14000844,Labour,5290
2015,Amy,GRAY,E14000720,Conservative,7349
2015,Amy,TREVETHAN,E14000636,Labour,18103
2015,Anas,SARWAR,S14000029,Labour,12996
2015,Anawar,MIAH,E14001027,Labour,13128
2015,Andrea,ALLEN,E14000849,UKIP,9262
2015,Andrea,CANTRILL,E14001051,Green,1058
2015,Andrea,CLARKE,E14000810,Conservative,13288
2015,Andrea,JENKYNS,E14000826,Conservative,18776
2015,Andrea,LEADSOM,E14000942,Conservative,36607
2015,Andree,FRIEZE,E14000896,Green,3548
2015,Andrew,ADAMS,E14000857,Labour,7342
2015,Andrew,ATKINSON,W07000044,Conservative,10350
2015,Andrew,BEADLE,E14000553,UKIP,3254
2015,Andrew,BINGHAM,E14000748,Conservative,22836
2015,Andrew,BOSWELL,E14000603,Green,2252
2015,Andrew,BRIDGEN,E14000858,Conservative,25505
2015,Andrew,CHAPMAN,E14000678,UKIP,6870
2015,Andrew,CHARALAMBOUS,E14000842,UKIP,11650
2015,Andrew,CLAYWORTH,E14000867,Trade Unionist and Socialist Coalition,230
2015,Andrew,COLLINSON,E14000805,UKIP,10053
2015,Andrew,COOPER,E14000756,Green,2798
2015,Andrew,DAVIS,E14000697,Liberal Democrats,5372
2015,Andrew,DISMORE,E14000741,Labour,20604
2015,Andrew,DURLING,E14000684,Green,1351
2015,Andrew,ELLIOT,S14000029,Trade Unionist and Socialist Coalition,119
2015,Andrew,EMERSON,E14000633,Patria,106
2015,Andrew,FAIRFOULL,E14000661,UKIP,7225
2015,Andrew,FURSE,E14000650,Liberal Democrats,1810
2015,Andrew,GARCARZ,E14000561,UKIP,6040
2015,Andrew,GARMAN,E14000686,Green,1624
2015,Andrew,GEORGE,E14000964,Liberal Democrats,16022
2015,Andrew,GRAHAM,E14001046,Liberal Democrats,3953
2015,Andrew,GRAY,E14000832,Green,3426
2015,Andrew,GRIFFITHS,E14000610,Conservative,24376
2015,Andrew,GWYNNE,E14000661,Labour,19661
2015,Andrew,HAIGH,W07000058,UKIP,3467
2015,Andrew,ILLSLEY,E14000975,UKIP,7620
2015,Andrew,JOHNSTON,E14000844,Green,2364
2015,Andrew,JONES,E14000730,Conservative,28153
2015,Andrew,JORDAN,W07000049,Socialist Labour Party,352
2015,Andrew,JUDGE,E14001040,Labour,12606
2015,Andrew,KNIGHT,E14000768,Animal Welfare Party,158
2015,Andrew,LONG,E14000938,Mebyon Kernow,1003
2015,Andrew,MARTIN,E14000580,Liberal Democrats,1947
2015,Andrew,MARTIN,E14000925,Liberal Democrats,1949
2015,Andrew,METCALF,S14000013,Liberal Democrats,953
2015,Andrew,MICHAEL,E14000735,UKIP,6786
2015,Andrew,MITCHELL,E14000985,Conservative,27782
2015,Andrew,MONCREIFF,E14000633,UKIP,8540
2015,Andrew,MUIR,N06000013,Alliance,3086
2015,Andrew,MURRISON,E14000954,Conservative,27198
2015,Andrew,PAKES,E14000822,Labour and Co-operative,18929
2015,Andrew,PERCY,E14000596,Conservative,22946
2015,Andrew,POINTON,E14000781,Green,3217
2015,Andrew,POLSON,S14000018,Conservative,4727
2015,Andrew,POPE,E14000827,Labour,6018
2015,Andrew,ROSINDELL,E14000900,Conservative,25067
2015,Andrew,SATHERLEY,E14000638,Labour,4745
2015,Andrew,SELOUS,E14000949,Conservative,28212
2015,Andrew,SMITH,E14000633,Liberal Democrats,4865
2015,Andrew,SMITH,E14000693,UKIP,9049
2015,Andrew,SMITH,E14000873,Labour,25356
2015,Andrew,STEPHENSON,E14000875,Conservative,20978
2015,Andrew,STOTT,E14000830,Patriotic Socialist Party,53
2015,Andrew,TEAR,E14000588,Liberal Democrats,1094
2015,Andrew,TOMKINSON,W07000075,UKIP,5085
2015,Andrew,TURNER,E14000762,Conservative,28591
2015,Andrew,TYRIE,E14000633,Conservative,32953
2015,Andrew,WALTON,E14000783,Trade Unionist and Socialist Coalition,349
2015,Andrzej,RYGIELSKI,E14000674,Europeans Party,39
2015,Andy,BENNETTS,E14000791,Class War,120
2015,Andy,BLATCHFORD,E14000659,Green,1324
2015,Andy,BOTHAM,E14000664,Labour,10761
2015,Andy,BROWN,E14000928,Green,3116
2015,Andy,BURNHAM,E14000785,Labour,24312
2015,Andy,CANNING,E14000638,Liberal Democrats,3263
2015,Andy,CHAFFER,E14000563,Communist Party of Britain,153
2015,Andy,COLLINS,S14000049,Green,1387
2015,Andy,CRICK,E14001058,Liberal Democrats,1228
2015,Andy,CROY,E14001048,Labour,8132
2015,Andy,DOYLE,S14000052,Cannabis is Safer than Alcohol Party,202
2015,Andy,HALLETT,E14000887,Liberal Democrats,2717
2015,Andy,HALSALL,E14000919,Pirate Party,113
2015,Andy,HIGGINS,E14000573,Independent,655
2015,Andy,KELLY,E14000897,Liberal Democrats,4667
2015,Andy,KIRKWOOD,E14000936,Movement for Active Democracy,164
2015,Andy,MCDONALD,E14000819,Labour,18584
2015,Andy,MCWILLIAM,E14000858,UKIP,8704
2015,Andy,MORRISON,S14000030,Conservative,2544
2015,Andy,NEWMAN,E14000635,Labour,4561
2015,Andy,REDFERN,E14000709,Green,1548
2015,Andy,ROBINSON,E14000588,Green,1243
2015,Andy,SAWFORD,E14000648,Labour and Co-operative,21611
2015,Andy,SLAUGHTER,E14000726,Labour,23981
2015,Andy,SMITH,E14000580,Independent,321
2015,Andy,THOMAS-EMANS,E14000704,The Socialist Party of Great Britain,68
2015,Andy,UZOKA,E14001032,Christian Peoples Alliance Party,369
2015,Andy,WILLIAMSON,E14000623,Green,4866
2015,Angela,CRAWLEY,S14000042,SNP,26976
2015,Angela,EAGLE,E14001010,Labour,26176
2015,Angela,MAWLE,E14000956,Green,2568
2015,Angela,MCCORMICK,S14000031,Trade Unionist and Socialist Coalition,160
2015,Angela,MCMANUS,E14000967,UKIP,7720
2015,Angela,NEEDHAM,E14000773,Green,943
2015,Angela,PATERSON,E14000861,Liberal Democrats,1401
2015,Angela,RAYNER,E14000537,Labour,19366
2015,Angela,SMITH,E14000876,Labour,19691
2015,Angela,THOMSON,E14000628,Green,1892
2015,Angela,WATKINSON,E14000751,Conservative,27051
2015,Angela,WOOLFORD,E14001047,The Evolution Party,41
2015,Angharad,JONES,W07000070,Liberal Democrats,830
2015,Angie,BRAY,E14000674,Conservative,21728
2015,Angus,DALGLEISH,E14000984,UKIP,5341
2015,Angus,MACNEIL,S14000027,SNP,8662
2015,Angus,ROBERTSON,S14000046,SNP,24384
2015,Anita,DAVIES,W07000073,Liberal Democrats,1648
2015,Anita,LOWER,E14000833,Liberal Democrats,4366
2015,Anita,PRABHAKAR,E14000783,Liberal Democrats,2127
2015,Ann,CLWYD,W07000070,Labour,14532
2015,Ann,COFFEY,E14000969,Labour,19771
2015,Ann,DUNCAN,E14000873,Green,5890
2015,Ann,GARRETT,E14000696,Green,941
2015,Ann,GRIFFITH,W07000063,Plaid Cymru,1745
2015,Ann,HOLTOM,E14000561,Liberal Democrats,965
2015,Ann,JAMAL,W07000048,Liberal Democrats,1392
2015,Ann,KELLY,E14000813,Monster Raving Loony Party,294
2015,Ann,MCKECHIN,S14000031,Labour,10315
2015,Ann,MURRAY,S14000009,UKIP,981
2015,Ann,MYATT,E14001037,Conservative,16245
2015,Ann,STEWARD,E14000848,Conservative,15256
2015,Ann-Marie,BARKER,E14000983,Liberal Democrats,4937
2015,Ann-Marie,MASON,W07000075,Conservative,6569
2015,Anna,CODA,E14000743,Labour,6042
2015,Anna,COKE,E14000816,UKIP,9930
2015,Anna,FIRTH,E14000696,Conservative,11684
2015,Anna,MARTIN,E14000708,Liberal Democrats,2279
2015,Anna,MASTERS,E14000565,Green,1169
2015,Anna,SOUBRY,E14000607,Conservative,24163
2015,Anna,TARRANT,E14000893,Liberal Democrats,5369
2015,Anna,TURLEY,E14000891,Labour and Co-operative,17946
2015,Anna,WATERS,E14000787,UKIP,3886
2015,Anna,WIDDUP,E14000693,Green,1782
2015,Anne,BEGG,S14000002,Labour,12991
2015,Anne,CROOK,E14000634,Liberal Democrats,2400
2015,Anne,LEMON,E14000600,Trade Unionist and Socialist Coalition,160
2015,Anne,MAIN,E14000960,Conservative,25392
2015,Anne,MCLAUGHLIN,S14000032,SNP,21976
2015,Anne,MILTON,E14000719,Conservative,30802
2015,Anne,MURGATROYD,E14000781,UKIP,7104
2015,Anne,OKOLE,E14000564,Green,1501
2015,Anne,POWER,E14001057,Green,1699
2015,Anne,SNELGROVE,E14000947,Labour,16992
2015,Anne,THOMAS,S14000055,Green,1051
2015,Anne,WARRINGTON,E14000760,Green,1506
2015,Anne-Marie,BUNTING,E14000715,Liberal Democrats,1111
2015,Anne-Marie,CURRY,E14000658,Liberal Democrats,1966
2015,Anne-Marie,MORRIS,E14000835,Conservative,22794
2015,Anne-Marie,TREVELYAN,E14000554,Conservative,16603
2015,Annie,WELLS,S14000032,Conservative,1769
2015,Anthony,MURPHY,E14001020,Green,1091
2015,Anthony,RAYBOULD,W07000050,UKIP,2499
2015,Anthony,ROWLANDS,E14000606,Liberal Democrats,1467
2015,Anthony,SALKELD,W07000055,Plaid Cymru,1231
2015,Anthony,SLAUGHTER,W07000080,Green,1746
2015,Anthony,SMITH,E14000747,Liberal Democrats,1607
2015,Anthony,SYCAMORE,E14000970,Liberal Democrats,884
2015,Anthony,THOMPSON,E14000531,UKIP,7751
2015,Antoinette,SANDBACH,E14000686,Conservative,24167
2015,Antonia,ZENKEVITCH,E14000865,Green,3473
2015,Antony,CALVERT,E14001009,Conservative,14688
2015,Anuja,PRASHAR,E14000551,Liberal Democrats,3378
2015,Anwen,BARRY,W07000057,Conservative,3521
2015,April,ASHLEY,E14000654,Trade Unionist and Socialist Coalition,127
2015,Aqila,CHOUDHRY,E14000779,Liberal Democrats,2569
2015,Archie,DRYBURGH,S14000014,Labour,7711
2015,Arjun,SINGH,E14000566,UKIP,5032
2015,Arnie,CRAVEN,E14000826,Yorkshire First,479
2015,Aroosa,ULZAMAN,E14000800,Liberal Democrats,1299
2015,Arran,NEATHEY,E14000907,Labour,7767
2015,Arthur,PENDRAGON,E14000912,Independent,729
2015,Arthur,PRICE,E14000623,Independent,347
2015,Arthur,STEVENS,E14001027,UKIP,6556
2015,Arthur,THACKERAY,S14000030,UKIP,1105
2015,Artificial,BEAST,E14000978,Cannabis is Safer than Alcohol Party,192
2015,Arun,PHOTAY,E14000568,Conservative,5760
2015,Asama,JAVED,E14000723,Respect,465
2015,Ashburn,HOLDER,E14000760,Liberal Democrats,1014
2015,Ashley,DICKENSON,E14000621,Christian Peoples Alliance Party,177
2015,Ashley,GUNSTOCK,E14000790,Green,2974
2015,Ashley,WAKELING,W07000047,Green,1784
2015,Ashuk,AHMED,E14000801,Liberal Democrats,3183
2015,Attiq,MALIK,E14000801,Independent,900
2015,Avtar,TAGGAR,E14000649,UKIP,6278
2015,Ayesha,SALEEM,S14000022,Trade Unionist and Socialist Coalition,117
2015,Azhar,ALI,E14000875,Labour,15525
2015,Azi,AHMED,E14000897,Conservative,7742
2015,Azzees,MINOTT,E14001019,Green,1994
2015,Bally,SINGH,E14000767,Labour,7472
2015,Bambos,CHARALAMBOUS,E14000692,Labour,17871
2015,Barbara,KEELEY,E14001054,Labour,18600
2015,Baron VON,THUNDERCLAP,E14000817,Monster Raving Loony Party,329
2015,Barrie,FAIRBAIRN,E14000714,Labour,9070
2015,Barrie,SINGLETON,E14000830,Independent,85
2015,Barry,BLACK,S14000058,Labour,2487
2015,Barry,BROOM,E14000761,Green,1736
2015,Barry,BROWN,N06000018,Cannabis is Safer than Alcohol Party,528
2015,Barry,CAMERON,E14000941,UKIP,7847
2015,Barry,EDWARDS,E14001005,UKIP,3069
2015,Barry,ELLIOTT,E14000575,UKIP,8584
2015,Barry,GARDINER,E14000592,Labour,28351
2015,Barry,HODGSON,E14001050,UKIP,7061
2015,Barry,LIM,E14001029,Green,628
2015,Barry,MAHONEY,E14000940,UKIP,9363
2015,Barry,SHEERMAN,E14000756,Labour and Co-operative,18186
2015,Bart,RICKETTS,E14000605,Liberal Democrats,2616
2015,Beci,NEWTON,W07000076,Plaid Cymru,5895
2015,Becky,COOPER,E14001049,Green,701
2015,Beki,ADAM,E14000817,Independent,958
2015,Belinda,BROOKS-GORDON,E14000639,Liberal Democrats,2521
2015,Ben,ADAMS,E14000973,Conservative,10593
2015,Ben,BASSON,E14001033,Green,1582
2015,Ben,BRADSHAW,E14000698,Labour,25062
2015,Ben,FEARN,E14000664,Liberal Democrats,3965
2015,Ben,FODAY,W07000080,Plaid Cymru,3443
2015,Ben,FOLEY,E14000552,Green,1412
2015,Ben,GALLAHER,E14000651,Green,1719
2015,Ben,GIBSON,E14000820,Liberal Democrats,1564
2015,Ben,GUMMER,E14000761,Conservative,21794
2015,Ben,HOWLETT,E14000547,Conservative,17833
2015,Ben,MANTON,N06000003,Conservative,582
2015,Ben,MAYOR,E14000781,Trade Unionist and Socialist Coalition,205
2015,Ben,NICHOLLS,E14000901,Liberal Democrats,8573
2015,Ben,RICE,W07000067,Green,1091
2015,Ben,ROBERTS,E14000770,UKIP,4321
2015,Ben,SAMUEL,E14000741,Green,1015
2015,Ben,STEVENSON,E14000655,Communist Party of Britain,125
2015,Ben,WALKER,E14000702,UKIP,7261
2015,Ben,WALLACE,E14001057,Conservative,26528
2015,Ben,WHITTINGHAM,E14001057,Labour,12377
2015,Benjamin,DAVIES,E14000631,Labour,6712
2015,Benjamin,GRAVESTOCK,E14000858,Green,1174
2015,Benjamin,MATHIS,E14000721,Liberal Democrats,2186
2015,Benjamin,OSBORN,E14000879,Green,1023
2015,Bernard,JENKIN,E14000734,Conservative,24722
2015,Beth,PRESCOTT,E14000836,Conservative,9569
2015,Beverley,ACEVEDO,E14000806,UKIP,7042
2015,Bez,BERRY,E14000911,We Are The Reality Party,703
2015,Bilal,MAHMOOD,E14000634,Labour,12613
2015,Bill,BONNAR,S14000035,Socialist,176
2015,Bill,BOWMAN,S14000015,Conservative,7206
2015,Bill,CASH,E14000975,Conservative,25733
2015,Bill,ESTERSON,E14000916,Labour,26359
2015,Bill,ETHERIDGE,E14000671,UKIP,9113
2015,Bill,GREENE,E14000573,Liberal Democrats,743
2015,Bill,MAIN-IAN,E14000621,UKIP,7049
2015,Bill,MANWARING,N06000004,Ulster Unionist Party,1088
2015,Bill,MARTIN,E14000763,The Socialist Party of Great Britain,112
2015,Bill,PIPER,E14000797,UKIP,5704
2015,Bill,REES,W07000071,Conservative,3292
2015,Bill,WALKER,E14000530,UKIP,8253
2015,Bill,WIGGIN,E14000847,Conservative,26716
2015,Bill,WINLOW,E14000785,Liberal Democrats,1150
2015,Billy,MARSDEN,E14000542,Vapers In Power,103
2015,Bim,AFOLAMI,E14000789,Conservative,7056
2015,Blair,SMILLIE,W07000043,UKIP,7260
2015,Bob,BARR,E14001018,Liberal Democrats,3335
2015,Bob,BATTEN,E14000853,National Front,191
2015,Bob,BLACKMAN,E14000731,Conservative,24668
2015,Bob,BLIZZARD,E14001022,Labour,19696
2015,Bob,BUXTON,E14000780,Yorkshire First,143
2015,Bob,DENNETT,E14000706,Green,1381
2015,Bob,DHILLON,E14001020,Conservative,7033
2015,Bob,EASTWOOD,E14000570,Conservative,12002
2015,Bob,ENGLISH,W07000059,Socialist Labour Party,612
2015,Bob,GILL,E14000869,National Health Action Party,1216
2015,Bob,GRIFFIN,W07000071,Liberal Democrats,1351
2015,Bob,HORSEFIELD,E14000580,UKIP,7428
2015,Bob,JOHNSTON,E14000908,Liberal Democrats,2783
2015,Bob,RUSSELL,E14000644,Liberal Democrats,13344
2015,Bob,SMITH,E14000616,UKIP,6776
2015,Bob,SMITH,E14000983,Independent,273
2015,Bob,SMYTHERMAN,E14000682,Liberal Democrats,3360
2015,Bob,STEWART,E14000551,Conservative,27955
2015,Bob,STOKER,N06000003,UKIP,1900
2015,Bob,THOMPSON,E14000640,Liberal Democrats,2870
2015,Bobby,SMITH,E14001046,Give Me Back Elmo,37
2015,Boris,JOHNSON,E14001007,Conservative,22511
2015,Boydd,HACKLEY-GREEN,W07000053,Plaid Cymru,2169
2015,Braden,DAVY,S14000037,Labour,3441
2015,Bradley,MONK,E14000938,UKIP,7698
2015,Brandon,LEWIS,E14000717,Conservative,19089
2015,Brendan,CHILTON,E14000536,Labour,10580
2015,Brendan,D'CRUZ,W07000077,Liberal Democrats,950
2015,Brendan,O'HARA,S14000005,SNP,22959
2015,Brian,BOOTH,E14001051,Independent,49
2015,Brian,DEBUS,E14000721,Trade Unionist and Socialist Coalition,302
2015,Brian,DONOHOE,S14000010,Labour,13410
2015,Brian,EDWARDS,W07000044,Independent,211
2015,Brian,HALL,E14000739,Independent,252
2015,Brian,HIGGINSON,N06000004,UKIP,765
2015,Brian,JOHNSON,W07000047,The Socialist Party of Great Britain,49
2015,Brian,MAPLETOFT,E14000829,UKIP,6294
2015,Brian,MATHEW,E14000860,Liberal Democrats,7892
2015,Brian,MORRIS,W07000079,UKIP,4923
2015,Brian,OTRIDGE,E14000957,UKIP,7803
2015,Brian,PARR,E14001039,Independent,165
2015,Brian,SMITH,E14000966,Green,1226
2015,Brian,SMITH,S14000034,Trade Unionist and Socialist Coalition,299
2015,Brian,SPENCER,E14000963,Liberal Democrats,2737
2015,Brian,THOMSON,S14000049,Labour,3476
2015,Brian,WHITTLE,S14000040,Conservative,6752
2015,Bridget,PHILLIPSON,E14000754,Labour,21218
2015,Bruce,GAULD,E14000988,Independent,96
2015,Bruce,MACHAN,E14000978,UKIP,1602
2015,Bruce,REID,E14000856,UKIP,7265
2015,Bruce,ROBERTS,W07000062,Liberal Democrats,1349
2015,Bruce,TENNENT,E14000827,Liberal Democrats,4626
2015,Bruce,WHITEHEAD,S14000023,Left Unity - Trade Unionists and Socialists,122
